SalesID,CustomerID,ProjectID,PropertyID,DateOfSale,SalePrice(INR),BrokerID,Status
SALE0001,CUST0001,PROJ001,001-A-120,2010-04-16,4678959,BRK008,Sold
SALE0002,CUST0002,PROJ001,001-D-102,2010-04-18,6396648,BRK010,Sold
SALE0003,CUST0003,PROJ001,001-D-117,2010-04-30,5095804,BRK015,Sold
SALE0004,CUST0004,PROJ001,001-D-127,2010-04-30,5361264,BRK005,Sold
SALE0005,CUST0005,PROJ001,001-D-114,2010-06-02,7051554,BRK007,Sold
SALE0006,CUST0006,PROJ001,001-B-123,2010-06-21,5628256,BRK011,Sold
SALE0007,CUST0007,PROJ001,001-B-132,2010-06-25,5801892,BRK015,Sold
SALE0008,CUST0008,PROJ001,001-D-134,2010-07-17,7128527,BRK012,Sold
SALE0009,CUST0009,PROJ001,001-A-118,2010-07-19,4560412,BRK014,Sold
SALE0010,CUST0010,PROJ001,001-B-134,2010-07-27,5636303,BRK007,Sold
SALE0011,CUST0011,PROJ001,001-C-121,2010-08-02,6635878,BRK007,Sold
SALE0012,CUST0012,PROJ001,001-B-112,2010-08-06,6822735,BRK004,Sold
SALE0013,CUST0013,PROJ001,001-C-117,2010-08-12,4727444,BRK005,Sold
SALE0014,CUST0014,PROJ001,001-C-126,2010-08-13,7141075,BRK008,Sold
SALE0015,CUST0015,PROJ001,001-D-136,2010-08-16,6163417,BRK005,Sold
SALE0016,CUST0016,PROJ001,001-B-127,2010-08-17,5580264,BRK001,Sold
SALE0017,CUST0017,PROJ001,001-A-105,2010-08-27,7013792,BRK014,Sold
SALE0018,CUST0018,PROJ001,001-B-111,2010-09-10,7143954,BRK008,Sold
SALE0019,CUST0019,PROJ001,001-D-113,2010-09-13,5824982,BRK010,Sold
SALE0020,CUST0020,PROJ001,001-D-115,2010-09-17,6947604,BRK014,Sold
SALE0021,CUST0021,PROJ001,001-B-102,2010-09-19,6695628,BRK008,Sold
SALE0022,CUST0022,PROJ001,001-C-118,2010-09-27,4755305,BRK004,Sold
SALE0023,CUST0023,PROJ001,001-A-116,2010-10-02,7257256,BRK008,Sold
SALE0024,CUST0024,PROJ001,001-B-118,2010-10-25,5228657,BRK008,Sold
SALE0025,CUST0025,PROJ001,001-C-106,2010-10-27,5697881,BRK013,Sold
SALE0026,CUST0026,PROJ001,001-A-121,2010-10-28,5629071,BRK011,Sold
SALE0027,CUST0027,PROJ001,001-D-103,2010-10-30,5295668,BRK011,Sold
SALE0028,CUST0028,PROJ001,001-C-132,2010-11-07,6249321,BRK003,Sold
SALE0029,CUST0029,PROJ001,001-D-124,2010-11-16,5460163,BRK012,Sold
SALE0030,CUST0030,PROJ001,001-A-101,2010-11-21,5469841,BRK007,Sold
SALE0031,CUST0031,PROJ001,001-A-127,2010-11-23,6120054,BRK011,Sold
SALE0032,CUST0032,PROJ001,001-C-109,2010-11-24,5584150,BRK009,Sold
