SalesID,CustomerID,ProjectID,PropertyID,DateOfSale,SalePrice(INR),BrokerID,Status
SALE0001,CUST0001,PROJ001,001-B-129,2010-04-16,6274822,BRK013,Sold
SALE0002,CUST0002,PROJ001,001-B-122,2010-04-21,6808602,BRK013,Sold
SALE0003,CUST0003,PROJ001,001-B-114,2010-04-25,5493628,BRK010,Sold
SALE0004,CUST0004,PROJ001,001-D-130,2010-04-28,5876935,BRK005,Sold
SALE0005,CUST0005,PROJ001,001-B-109,2010-05-08,4942898,BRK014,Sold
SALE0006,CUST0006,PROJ001,001-B-132,2010-05-17,4537092,BRK003,Sold
SALE0007,CUST0007,PROJ001,001-C-125,2010-05-23,7137318,BRK007,Sold
SALE0008,CUST0008,PROJ001,001-D-118,2010-05-30,6115754,BRK013,Sold
SALE0009,CUST0009,PROJ001,001-C-113,2010-06-15,4614768,BRK005,Sold
SALE0010,CUST0010,PROJ001,001-C-136,2010-07-01,5834462,BRK010,Sold
SALE0011,CUST0011,PROJ001,001-C-124,2010-07-11,6892784,BRK004,Sold
SALE0012,CUST0012,PROJ001,001-A-132,2010-08-17,6969239,BRK009,Sold
SALE0013,CUST0013,PROJ001,001-D-109,2010-09-02,6401096,BRK011,Sold
SALE0014,CUST0014,PROJ001,001-A-137,2010-09-21,7219410,BRK009,Sold
SALE0015,CUST0015,PROJ001,001-D-115,2010-09-27,5271766,BRK006,Sold
SALE0016,CUST0016,PROJ001,001-C-121,2010-10-03,6888306,BRK003,Sold
SALE0017,CUST0017,PROJ001,001-C-116,2010-10-21,5196265,BRK003,Sold
SALE0018,CUST0018,PROJ001,001-D-123,2010-11-06,6877485,BRK005,Sold
SALE0019,CUST0019,PROJ001,001-D-112,2010-12-03,7273204,BRK011,Sold
SALE0020,CUST0020,PROJ001,001-B-135,2010-12-07,5596298,BRK005,Sold
SALE0021,CUST0021,PROJ001,001-D-101,2010-12-11,5715284,BRK001,Sold
SALE0022,CUST0022,PROJ001,001-D-116,2010-12-17,6905376,BRK006,Sold
SALE0023,CUST0023,PROJ001,001-D-111,2011-01-03,7343130,BRK009,Sold
SALE0024,CUST0024,PROJ001,001-D-119,2011-01-19,5909879,BRK003,Sold
SALE0025,CUST0025,PROJ001,001-C-112,2011-02-09,5757888,BRK002,Sold
SALE0026,CUST0026,PROJ001,001-C-101,2011-02-22,5108052,BRK014,Sold
SALE0027,CUST0027,PROJ001,001-A-138,2011-02-26,6750129,BRK013,Sold
SALE0028,CUST0028,PROJ001,001-D-137,2011-03-17,6065125,BRK012,Sold
SALE0029,CUST0029,PROJ001,001-C-137,2011-03-19,5410367,BRK008,Sold
SALE0030,CUST0030,PROJ001,001-D-135,2011-03-21,7154984,BRK011,Sold
SALE0031,CUST0031,PROJ001,001-B-134,2011-04-01,6650272,BRK004,Sold
SALE0032,CUST0032,PROJ001,001-B-103,2011-04-01,6985385,BRK013,Sold
SALE0033,CUST0033,PROJ001,001-B-116,2011-04-02,4509363,BRK011,Sold
SALE0034,CUST0034,PROJ001,001-B-130,2011-04-07,7293052,BRK004,Sold
SALE0035,CUST0035,PROJ001,001-C-106,2011-04-08,5077702,BRK007,Sold
SALE0036,CUST0036,PROJ001,001-A-114,2011-04-17,7463272,BRK005,Sold
SALE0037,CUST0037,PROJ001,001-B-102,2011-04-24,4787374,BRK011,Sold
SALE0038,CUST0038,PROJ001,001-A-113,2011-05-05,7264319,BRK002,Sold
SALE0039,CUST0039,PROJ001,001-A-119,2011-05-21,6786275,BRK001,Sold
SALE0040,CUST0040,PROJ001,001-C-130,2011-05-29,6729703,BRK013,Sold
SALE0041,CUST0041,PROJ001,001-B-138,2011-06-01,7446209,BRK013,Sold
SALE0042,CUST0042,PROJ001,001-B-124,2011-06-11,5592008,BRK008,Sold
SALE0043,CUST0043,PROJ001,001-A-106,2011-06-11,6991760,BRK015,Sold
SALE0044,CUST0044,PROJ001,001-A-129,2011-06-16,6583295,BRK008,Sold
SALE0045,CUST0045,PROJ001,001-A-131,2011-07-11,6178350,BRK015,Sold
SALE0046,CUST0046,PROJ001,001-B-108,2011-07-13,4576670,BRK012,Sold
SALE0047,CUST0047,PROJ001,001-A-118,2011-07-21,5838501,BRK013,Sold
SALE0048,CUST0048,PROJ002,002-D-119,2011-07-21,23470648,BRK007,Sold
SALE0049,CUST0049,PROJ002,002-A-102,2011-07-24,18146278,BRK012,Sold
SALE0050,CUST0050,PROJ002,002-D-118,2011-08-09,23582805,BRK008,Sold
SALE0051,CUST0051,PROJ002,002-B-110,2011-08-09,19077386,BRK010,Sold
SALE0052,CUST0052,PROJ002,002-C-124,2011-09-01,23205140,BRK012,Sold
SALE0053,CUST0053,PROJ001,001-C-107,2011-09-02,5216578,BRK002,Sold
SALE0054,CUST0054,PROJ001,001-A-123,2011-09-13,7265927,BRK010,Sold
SALE0055,CUST0055,PROJ002,002-C-113,2011-09-18,23361083,BRK006,Sold
SALE0056,CUST0056,PROJ002,002-A-120,2011-09-27,25054664,BRK009,Sold
SALE0057,CUST0057,PROJ002,002-B-112,2011-10-08,25893933,BRK002,Sold
SALE0058,CUST0058,PROJ002,002-D-115,2011-10-08,20860617,BRK013,Sold
SALE0059,CUST0059,PROJ001,001-B-131,2011-10-10,5199243,BRK011,Sold
SALE0060,CUST0060,PROJ001,001-D-136,2011-10-16,5774865,BRK002,Sold
SALE0061,CUST0061,PROJ002,002-C-119,2011-10-17,24575651,BRK006,Sold
SALE0062,CUST0062,PROJ001,001-B-112,2011-10-24,7210714,BRK009,Sold
SALE0063,CUST0063,PROJ002,002-D-117,2011-11-05,23693372,BRK005,Sold
SALE0064,CUST0064,PROJ001,001-D-120,2011-11-07,7332294,BRK012,Sold
SALE0065,CUST0065,PROJ001,001-B-128,2011-11-09,6215990,BRK013,Sold
SALE0066,CUST0066,PROJ002,002-A-115,2011-11-09,20814767,BRK010,Sold
SALE0067,CUST0067,PROJ002,002-C-108,2011-11-12,21109422,BRK006,Sold
SALE0068,CUST0068,PROJ001,001-B-105,2011-11-23,4534354,BRK008,Sold
SALE0069,CUST0069,PROJ002,002-A-105,2011-11-24,15437839,BRK001,Sold
SALE0070,CUST0070,PROJ002,002-B-102,2011-11-27,17008892,BRK015,Sold
SALE0071,CUST0071,PROJ002,002-A-106,2011-11-28,26608474,BRK007,Sold
SALE0072,CUST0072,PROJ002,002-B-114,2011-12-12,23448800,BRK006,Sold
SALE0073,CUST0073,PROJ002,002-D-126,2011-12-13,27482691,BRK011,Sold
SALE0074,CUST0074,PROJ002,002-B-124,2011-12-18,28433171,BRK008,Sold
SALE0075,CUST0075,PROJ002,002-D-109,2011-12-18,22603948,BRK005,Sold
SALE0076,CUST0076,PROJ001,001-B-136,2011-12-22,5030252,BRK009,Sold
SALE0077,CUST0077,PROJ002,002-D-111,2011-12-30,19990289,BRK001,Sold
SALE0078,CUST0078,PROJ002,002-B-107,2012-01-08,23623862,BRK012,Sold
SALE0079,CUST0079,PROJ002,002-A-108,2012-01-14,15448191,BRK004,Sold
SALE0080,CUST0080,PROJ001,001-C-131,2012-01-17,5939108,BRK007,Sold
SALE0081,CUST0081,PROJ001,001-C-119,2012-01-24,6491586,BRK013,Sold
SALE0082,CUST0082,PROJ002,002-A-107,2012-01-29,23672213,BRK009,Sold
SALE0083,CUST0083,PROJ001,001-A-136,2012-01-30,5006578,BRK008,Sold
SALE0084,CUST0084,PROJ002,002-A-114,2012-02-01,20998751,BRK013,Sold
SALE0085,CUST0085,PROJ001,001-C-128,2012-02-08,5911973,BRK008,Sold
SALE0086,CUST0086,PROJ002,002-C-126,2012-02-09,15206589,BRK007,Sold
SALE0087,CUST0087,PROJ001,001-A-134,2012-02-13,6776411,BRK013,Sold
SALE0088,CUST0088,PROJ002,002-C-114,2012-02-20,26047948,BRK009,Sold
SALE0089,CUST0089,PROJ001,001-C-120,2012-02-25,7017289,BRK010,Sold
SALE0090,CUST0090,PROJ001,001-C-135,2012-02-27,4564760,BRK014,Sold
SALE0091,CUST0091,PROJ001,001-C-110,2012-02-27,7351397,BRK010,Sold
SALE0092,CUST0092,PROJ002,002-A-118,2012-02-27,25471452,BRK015,Sold
SALE0093,CUST0093,PROJ001,001-B-118,2012-03-06,6299279,BRK009,Sold
SALE0094,CUST0094,PROJ001,001-C-108,2012-03-06,5984159,BRK004,Sold
SALE0095,CUST0095,PROJ001,001-A-110,2012-03-08,6595018,BRK003,Sold
SALE0096,CUST0096,PROJ001,001-A-120,2012-03-08,5529966,BRK004,Sold
SALE0097,CUST0097,PROJ002,002-D-130,2012-03-10,19553577,BRK013,Sold
SALE0098,CUST0098,PROJ002,002-C-104,2012-03-15,15820287,BRK007,Sold
SALE0099,CUST0099,PROJ001,001-A-104,2012-03-26,5324197,BRK001,Sold
SALE0100,CUST0100,PROJ002,002-C-112,2012-03-28,29109629,BRK015,Sold
