SalesID,CustomerID,ProjectID,PropertyID,DateOfSale,SalePrice(INR),BrokerID,Status
SALE0001,CUST0001,PROJ001,SG-A-101,2010-04-22,4650000,BRK003,Sold
SALE0002,CUST0002,PROJ001,SG-B-203,2010-05-15,5200000,BRK007,Sold
SALE0003,CUST0003,PROJ001,SG-C-405,2010-05-28,6800000,BRK001,Sold
SALE0004,CUST0004,PROJ001,SG-A-102,2010-06-11,4700000,BRK012,Sold
SALE0005,CUST0005,PROJ001,SG-D-501,2010-07-03,7450000,BRK005,Sold
SALE0006,CUST0006,PROJ002,RP-V-01,2011-07-19,16500000,BRK009,Sold
SALE0007,CUST0007,PROJ001,SG-B-301,2011-08-01,5850000,BRK002,Sold
SALE0008,CUST0008,PROJ002,RP-T1-1201,2011-08-21,21000000,BRK011,Sold
SALE0009,CUST0009,PROJ002,RP-V-02,2011-09-05,17200000,BRK006,Sold
SALE0010,CUST0010,PROJ001,SG-C-401,2011-09-18,6750000,BRK004,Sold
SALE0011,CUST0011,PROJ003,CV-E-704,2012-10-01,7200000,BRK008,Sold
SALE0012,CUST0012,PROJ002,RP-T2-1504,2012-10-14,28000000,BRK001,Sold
SALE0013,CUST0013,PROJ003,CV-F-801,2012-11-03,8900000,BRK014,Sold
SALE0014,CUST0014,PROJ003,CV-A-202,2012-11-25,6150000,BRK003,Sold
SALE0015,CUST0015,PROJ001,SG-D-505,2012-12-08,7500000,BRK010,Sold
SALE0016,CUST0016,PROJ003,CV-B-303,2013-01-15,6400000,BRK007,Sold
SALE0017,CUST0017,PROJ002,RP-T1-1802,2013-02-20,25500000,BRK005,Sold
SALE0018,CUST0018,PROJ001,SG-A-104,2013-03-04,4800000,BRK009,Sold
SALE0019,CUST0019,PROJ003,CV-C-501,2013-03-19,6950000,BRK013,Sold
SALE0020,CUST0020,PROJ001,SG-E-602,2013-04-01,7100000,BRK002,Sold
